countrycode,country,reg,avg_growth,avg_percapita_growth,ypc60,avg_yos_pri,avg_yos_sec,avg_yos_ter,avg_yos_total,tmeanmsagay,open,exprop,tfr_avg,tropical,oecd
ARG,Argentina,LATAM,2.2553043365478516,0.792303204536438,7.394999980926514,5.807142857142857,1.66,0.2542857142857143,7.7214285714285715,3.9200000762939453,0,6.5,2.9779999256134033,0.029999999329447746,0
AUS,Australia,COMM,3.657107353210449,2.0760421752929688,10.618000030517578,5.7785714285714285,4.367142857142857,0.7214285714285714,10.867142857142857,5.093657970428467,0.8700000047683716,9.319999694824219,2.374000072479248,0.38999998569488525,1
AUT,Austria,C-EUR,3.1744961738586426,2.833768129348755,7.364999771118164,4.4,3.605714285714286,0.1742857142857143,8.177142857142858,5.089223861694336,1,9.739999771118164,1.878000020980835,0,1
BEL,Belgium,C-EUR,2.9936909675598145,2.692582607269287,7.758999824523926,5.561428571428571,2.907142857142857,0.5128571428571429,8.982857142857142,5.041077136993408,1,9.6899995803833,1.934999942779541,0,1
BRA,Brazil,LATAM,4.562860488891602,2.3256173133850098,2.3949999809265137,3.1285714285714286,1.0057142857142858,0.1457142857142857,4.28,3.637500047683716,0.20999999344348907,7.900000095367432,3.996000051498413,0.9300000071525574,0
BWA,Botswana,SSAFR,9.489043235778809,6.369091033935547,0.984000027179718,2.9570000000000003,0.6505,0.0335,3.6415,NA,NA,NA,NA,NA,NA
CAN,Canada,COMM,3.5986013412475586,2.2326385974884033,10.418999671936035,5.638571428571429,3.815714285714286,0.6757142857142857,10.131428571428572,5.0378336906433105,1,9.739999771118164,2.23799991607666,0,1
CHE,Switzerland,C-EUR,1.5661518573760986,0.9093706607818604,14.876999855041504,6.5295000000000005,3.0015,0.3385,9.8705,5.141524791717529,1,10,1.8070000410079956,0,1
CHL,Chile,LATAM,4.153482913970947,2.4325857162475586,3.818000078201294,4.942857142857143,2.382857142857143,0.31285714285714283,7.638571428571429,4.049304962158203,0.5899999737739563,7.820000171661377,3.3550000190734863,0.1599999964237213,0
CHN,China,ASIA,7.857097625732422,6.199446201324463,0.6850000023841858,4.007142857142857,1.1714285714285715,0.06571428571428571,5.241428571428571,4.939448356628418,0,7.789999961853027,3.1419999599456787,0.029999999329447746,0
COL,Colombia,LATAM,4.1622209548950195,1.9086120128631592,2.5250000953674316,3.5,1.6985714285714284,0.23,5.43,4.152122974395752,0.33000001311302185,7.389999866485596,4.361000061035156,1,0
CYP,Cyprus,MENA,6.320131778717041,4.988611221313477,3.065000057220459,5.0685714285714285,2.672857142857143,0.42714285714285716,8.168571428571429,4.542120456695557,1,NA,2.566999912261963,0,0
DNK,Denmark,N-EUR,2.7228684425354004,2.332214117050171,10.916999816894531,5.064,4.001,0.5285000000000001,9.5915,4.962182521820068,1,9.739999771118164,1.8949999809265137,0,1
EGY,Egypt,MENA,5.216705799102783,2.7779932022094727,1.4759999513626099,2.2114285714285713,1.237142857142857,0.12142857142857143,3.567142857142857,4.0299458503723145,0.20999999344348907,6.769999980926514,5.072999954223633,0.17000000178813934,0
ESP,Spain,S-EUR,4.151773452758789,3.3635103702545166,4.692999839782715,4.711428571428572,2.0285714285714285,0.29428571428571426,7.0371428571428565,4.829085826873779,1,9.619999885559082,2.0940001010894775,0,1
FIN,Finland,N-EUR,3.3878209590911865,2.9985055923461914,7.438000202178955,4.378571428571428,2.7514285714285713,0.3942857142857143,7.5285714285714285,5.126301288604736,1,9.739999771118164,1.9390000104904175,0,1
FRA,France,C-EUR,3.2968719005584717,2.611563205718994,7.860000133514404,4.04,2.057,0.2565,6.354,5.040047645568848,1,9.739999771118164,2.1649999618530273,0,1
GBR,United Kingdom,C-EUR,2.7162880897521973,2.406696081161499,9.682000160217285,5.482857142857143,2.9114285714285715,0.4228571428571428,8.815714285714286,4.949998378753662,1,9.789999961853027,2.1059999465942383,0,1
GHA,Ghana,SSAFR,2.6780881881713867,0.03212250396609306,0.8320000171661377,2.987142857142857,1.9057142857142857,0.05142857142857143,4.9471428571428575,3.602820634841919,0.33000001311302185,6.320000171661377,5.960999965667725,1,0
GRC,Greece,S-EUR,3.9318811893463135,3.2788689136505127,4.158999919891357,5.0685714285714285,2.3457142857142856,0.37,7.785714285714286,4.607699871063232,1,7.78000020980835,1.9119999408721924,0,1
HKG,Hong Kong,ASIA,6.786609649658203,4.873940944671631,3.046999931335449,4.682857142857142,3.33,0.27,8.284285714285714,5.194920063018799,1,8.130000114440918,2.5399999618530273,1,0
IDN,Indonesia,ASIA,5.176600933074951,2.9460227489471436,0.9599999785423279,3.1142857142857143,0.7714285714285715,0.04142857142857143,3.9242857142857144,3.879873037338257,0.7200000286102295,7.53000020980835,4.1529998779296875,1,0
IND,India,ASIA,4.635998725891113,2.464799642562866,0.8379999995231628,1.9742857142857142,0.9757142857142858,0.11285714285714286,3.0642857142857145,4.281425476074219,0,8.279999732971191,4.831999778747559,0.5099999904632568,0
IRL,Ireland,C-EUR,5.134713649749756,4.179614543914795,5.208000183105469,6.098571428571429,2.9557142857142855,0.44285714285714284,9.498571428571429,4.994569778442383,0.8500000238418579,9.739999771118164,2.9779999256134033,0,1
IRN,Iran,MENA,4.620074272155762,1.8930509090423584,2.634999990463257,2.685714285714286,1.6528571428571428,0.17142857142857143,4.51,4.218588352203369,0,NA,5.585999965667725,0,0
ISL,Iceland,N-EUR,4.226491928100586,2.79388689994812,8.105999946594238,5.507142857142857,2.488571428571429,0.33714285714285713,8.332857142857144,4.935566425323486,NA,NA,2.7709999084472656,NA,1
ISR,Israel,MENA,5.439630031585693,2.643068313598633,5.361000061035156,5.564285714285714,4.035714285714286,0.7171428571428572,10.317142857142857,4.686297416687012,0.33000001311302185,8.59000015258789,3.309999942779541,0,0
ITA,Italy,S-EUR,3.216970205307007,2.8959624767303467,6.816999912261963,4.451428571428571,2.592857142857143,0.15857142857142859,7.204285714285714,4.757607936859131,1,9.460000038146973,1.7910000085830688,0,1
JOR,Jordan,MENA,6.045185565948486,2.480020046234131,2.305000066757202,3.5,2.0357142857142856,0.2142857142857143,5.751428571428571,4.263708591461182,1,6.760000228881836,NA,0,0
JPN,Japan,ASIA,4.6473708152771,3.856991767883301,4.6570000648498535,5.704285714285715,3.2014285714285715,0.5542857142857143,9.458571428571428,5.3104329109191895,0.949999988079071,9.739999771118164,1.7649999856948853,0,1
KOR,"Korea, Rep.",ASIA,8.671420097351074,7.039477825164795,1.5709999799728394,4.75,2.0765,0.2815,7.1155,5.337576389312744,0.7699999809265137,8.710000038146973,3.140000104904175,0,1
MAR,Morocco,MENA,4.875627040863037,2.839581251144409,1.3220000267028809,1.3357142857142856,0.89,0.12571428571428572,2.3514285714285714,3.327197551727295,0.49000000953674316,7.090000152587891,5.289999961853027,0,0
MEX,Mexico,LATAM,4.464013576507568,2.0107195377349854,3.9700000286102295,3.6485714285714286,1.782857142857143,0.20714285714285713,5.64,3.997499942779541,0.3100000023841858,7.510000228881836,4.816999912261963,0.4699999988079071,1
MYS,Malaysia,ASIA,6.797037124633789,4.081501007080078,2.1470000743865967,4.161428571428571,2.2542857142857144,0.15,6.564285714285714,4.838438510894775,1,7.980000019073486,4.6539998054504395,1,0
NGA,Nigeria,SSAFR,3.0596988201141357,0.5227400064468384,1.034999966621399,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA
NLD,Netherlands,C-EUR,3.305406332015991,2.4760935306549072,9.262999534606934,5.804285714285714,3.5042857142857144,0.42714285714285716,9.737142857142857,5.1149516105651855,1,10,2.122999906539917,0,1
NOR,Norway,N-EUR,3.6362178325653076,3.0526809692382812,8.23900032043457,6.807142857142857,2.435714285714286,0.4057142857142857,9.647142857142857,4.830201625823975,1,9.899999618530273,2.1700000762939453,0,1
NZL,New Zealand,COMM,2.5174753665924072,1.4085410833358765,11.555000305175781,6.663,4.008,1.0295,11.693999999999999,4.9784932136535645,0.3100000023841858,9.739999771118164,2.691999912261963,0,1
PER,Peru,LATAM,3.097297430038452,0.7613716721534729,3.118000030517578,3.9285714285714284,2.1942857142857144,0.5014285714285714,6.622857142857143,3.125,0.3799999952316284,5.940000057220459,4.810999870300293,1,0
PHL,Philippines,ASIA,3.883204936981201,1.1386454105377197,2.0220000743865967,4.127142857142857,1.882857142857143,0.4957142857142857,6.502857142857143,3.6470041275024414,0.25999999046325684,5.460000038146973,4.9730000495910645,1,0
PRT,Portugal,S-EUR,4.1619791984558105,3.775838851928711,3.434000015258789,3.5785714285714287,1.52,0.1742857142857143,5.274285714285714,4.563729286193848,1,9.140000343322754,2.177999973297119,0,1
ROM,Romania,S-EUR,0.4749230742454529,1.0404057502746582,NA,6.388571428571429,2.07,NA,NA,4.562231540679932,0.18000000715255737,7.28000020980835,2.1610000133514404,0,0
SGP,Singapore,ASIA,7.951587200164795,5.677149772644043,2.2799999713897705,4.105714285714286,2.1471428571428572,0.21571428571428572,6.47,5.33043098449707,1,9.319999694824219,2.7249999046325684,1,0
SWE,Sweden,N-EUR,2.684788703918457,2.256401777267456,10.112000465393066,5.635714285714286,4.007142857142857,0.4828571428571429,10.127142857142857,5.013004302978516,1,9.520000457763672,1.8960000276565552,0,1
THA,Thailand,ASIA,6.782175540924072,4.671719074249268,1.121000051498413,3.2471428571428573,0.7985714285714286,0.13999999999999999,4.187142857142857,4.564709186553955,1,7.610000133514404,3.8949999809265137,1,0
TUN,Tunisia,MENA,5.04071569442749,2.900613784790039,1.9291081428527832,2.544285714285714,1.1557142857142857,0.09571428571428571,3.792857142857143,3.795032024383545,0.25999999046325684,6.449999809265137,4.85699987411499,0,0
TUR,Turkey,MENA,4.4503703117370605,2.338111162185669,2.700000047683716,3.005714285714286,1.0771428571428572,0.20857142857142857,4.292857142857143,4.127964019775391,0.23000000417232513,7.460000038146973,4.235000133514404,0,0
URY,Uruguay,LATAM,1.6296310424804688,0.9918444156646729,5.840000152587891,4.917142857142857,1.8342857142857143,0.2342857142857143,6.984285714285715,4.300000190734863,0.12999999523162842,7.070000171661377,2.6449999809265137,0,0
USA,United States,COMM,3.5054712295532227,2.3714544773101807,12.413999557495117,5.86,5.035714285714286,1.0714285714285714,11.968571428571428,4.90263557434082,1,10,2.437999963760376,0,1
ZAF,South Africa,SSAFR,3.122871160507202,0.741104781627655,4.916999816894531,5.082,1.898,0.1275,7.114,3.0893619060516357,0.1599999964237213,6.960000038146973,4.584000110626221,0.03999999910593033,0
ZWE,Zimbabwe,SSAFR,3.189474105834961,0.29486575722694397,1.1619999408721924,3.3885714285714283,1.45,0.08285714285714285,4.921428571428572,4.107061862945557,0,6.179999828338623,5.946000099182129,1,0
